Date,Open,High,Low,Close,Adj Close,Volume
12/1/2019,220.575,,,220.3225,220.3225,
12/2/2019,220.600006,221.380005,220.110001,220.330002,220.330002,3888100
12/3/2019,218.820007,218.899994,216.399994,218.080002,218.080002,4480100
12/4/2019,217.949997,218.880005,217.539993,218.399994,218.399994,2667700
12/5/2019,218.990005,219.75,218.050003,219.600006,219.600006,2319300
12/6/2019,221.639999,223,221.330002,222.610001,222.610001,3447700
12/7/2019,222.175,,,221.995,221.995,
12/8/2019,222.4425,,,221.6875,221.6875,
12/9/2019,222.710007,223.300003,221.190002,221.380005,221.380005,2601000
12/10/2019,222.070007,222.070007,220.210007,221.259995,221.259995,2688900
12/11/2019,221.210007,222.649994,221.009995,222.570007,222.570007,3546600
12/12/2019,222.880005,226.520004,222.529999,225.919998,225.919998,5121900
12/13/2019,225.919998,226.5,223.960007,225.369995,225.369995,3160500
12/14/2019,226.345,,,226.11,226.11,
12/15/2019,226.5575,,,226.48,226.48,
12/16/2019,226.770004,227.809998,226.289993,226.850006,226.850006,4278800
12/17/2019,227.270004,228.229996,226.550003,227.050003,227.050003,4867400
12/18/2019,227.059998,227.199997,224.889999,225.009995,225.009995,5962300
12/19/2019,224.660004,225.660004,224.160004,225.210007,225.210007,4432600
12/20/2019,226.240005,227.800003,225.559998,226.309998,226.309998,11572200
12/21/2019,226.425,,,225.895,225.895,
12/22/2019,226.5175,,,225.6875,225.6875,
12/23/2019,226.610001,226.669998,224.929993,225.479996,225.479996,3504100
12/24/2019,225.240005,225.649994,224.880005,225.470001,225.470001,961100
12/25/2019,225.58,,,225.96,225.96,
12/26/2019,225.919998,226.509995,225.639999,226.449997,226.449997,1725700
12/27/2019,226.860001,226.970001,225.570007,226.139999,226.139999,2769400
12/28/2019,226.5,,,225.95,225.95,
12/29/2019,226.32,,,225.855,225.855,
12/30/2019,226.139999,226.600006,224.669998,225.759995,225.759995,2769700
12/31/2019,226.160004,226.720001,225.139999,226.5,226.5,3145200
